奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
育	609	466490	[充字头]·[青字底]·[青字底]	tvy
属	610	994832	尸·丿·[禺字底]	tae
坐	611	1137876	人·人·土	kka
帝	612	319366	[帝字头]·巾·巾	yfj
限	613	568191	阝·艮·艮	zzg
船	614	327564	舟·几·口	dwj
脸	615	713800	月·亼·[应字心]	vrd
职	616	443874	耳·口·八	xjt
速	617	558402	束·辶·辶	kod
刻	618	219655	亥·刂·刂	zxd
乐	619	895092	[乐二]·小·小	nhx
否	620	244509	不·口·口	ujk
刚	621	1559279	冂·㐅·刂	ghx
威	622	482032	戊·一·女	jeg
毛	623	465108	毛·毛·毛	pmm
状	624	444846	丬·犬·犬	czq
率	625	1595955	亠·幺·十	mju
甚	626	271106	其·乚·乚	gwe
独	627	349635	犭·虫·虫	lcc
球	628	1146828	⺩·求·求	vwq
般	629	353256	舟·殳·殳	dbs
普	630	743334	䒑·业·日	sld
怕	631	571317	忄·白·白	qgb
弹	632	360167	弓·[兽字头]·十	lqu
校	633	659059	木·六·㐅	smh
苦	634	333863	[贲字腰]·古·古	bng
创	635	1079571	[全字头]·㔾·刂	kbx
假	636	522229	亻·[叚字旁无二]·又	mtr
久	637	913858	[久二]·丶·丶	izd
错	638	765387	钅·龷·日	tyd
承	639	319308	乚·水·三	wij
印	640	423915	[卬字旁]·一·卩	neb
晚	641	870483	日·[免五]·[见字底]	doy
兰	642	840120	丷·三·三	sjs
试	643	936036	讠·弋·工	iam
股	644	1849177	月·殳·殳	vbs
拿	645	1745865	合·手·手	qhs
脑	646	346835	月·亠·凵	vmk
预	647	648534	予·页·页	bxy
谁	648	1508124	讠·隹·隹	iou
益	649	434126	䒑·八·皿	str
阳	650	569077	阝·日·日	zdr
若	651	762213	[贲字腰]·右·右	bcy
哪	652	1135199	口·乚·阝	jwz
微	653	1069576	[微字框]·几·几	wwj
尼	654	781630	尸·匕·匕	tcb
继	655	380923	纟·米·乚	yxw
送	656	1398653	丷·天·辶	sgo
急	657	384683	[尔字头]·彐·心	iun
血	658	660910	丿·皿·皿	arm
惊	659	156024	忄·[享字头]·小	quh
伤	660	540556	亻·[卧人]·力	mfi
素	661	609954	龶·糸·糸	pzm
